Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
Wireless Device 2 - Communication Status,Wireless Device 2 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,222,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 3 - Communication Status,Wireless Device 3 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,232,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 4 - Communication Status,Wireless Device 4 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,242,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 5 - Communication Status,Wireless Device 5 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,252,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 6 - Communication Status,Wireless Device 6 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,262,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 7 - Communication Status,Wireless Device 7 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,272,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 8 - Communication Status,Wireless Device 8 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,282,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 9 - Communication Status,Wireless Device 9 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,292,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 10 - Communication Status,Wireless Device 10 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,302,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 11 - Communication Status,Wireless Device 11 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,312,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 12 - Communication Status,Wireless Device 12 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,322,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 13 - Communication Status,Wireless Device 13 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,332,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 14 - Communication Status,Wireless Device 14 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,342,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 15 - Communication Status,Wireless Device 15 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,352,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 16 - Communication Status,Wireless Device 16 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,362,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 17 - Communication Status,Wireless Device 17 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,372,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 18 - Communication Status,Wireless Device 18 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,382,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 19 - Communication Status,Wireless Device 19 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,392,,"1=Online, 2=Invalid, 3=Offline"
Wireless Device 20 - Communication Status,Wireless Device 20 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,402,,"1=Online, 2=Invalid, 3=Offline"
Effective temperature sensor,Effective temperature sensor,State,State count: 23,multiStateInput,presentValue,FALSE,309,,"1=Internal, 2=WL IO, 3=WL 1, 4=WL 2, 5=WL 3, 6=WL 4, 7=WL 5, 8=WL 6, 9=WL 7, 10=WL 8, 11=WL 9, 12=WL 10, 13=WL 11, 14=WL 12, 15=WL 13, 16=WL 14, 17=WL 15, 18=WL 16, 19=WL 17, 20=WL 18, 21=WL 19, 22=WL 20"
Effective relative humidity sensor,Effective relative humidity sensor,State,State count: 22,multiStateInput,presentValue,FALSE,313,,"1=Internal, 2=WL 1, 3=WL 2, 4=WL 3, 5=WL 4, 6=WL 5, 7=WL 6, 8=WL 7, 9=WL 8, 10=WL 9, 11=WL 10, 12=WL 11, 13=WL 12, 14=WL 13, 15=WL 14, 16=WL 15, 17=WL 16, 18=WL 17, 19=WL 18, 20=WL 19, 21=WL 20"
Effective System Mode,Effective System Mode,State,State count: 2,multiStateInput,presentValue,FALSE,314,,1=Heat
Wi-Fi Module Status,Wi-Fi Module Status,State,State count: 7,multiStateInput,presentValue,FALSE,315,,"1=Initializing, 2=Ready, 3=Booting, 4=Resetting, 5=Fail, 6=Testing"
Wi-Fi Status,Wi-Fi Status,State,State count: 7,multiStateInput,presentValue,FALSE,316,,"1=Associate, 2=Config., 3=Ready, 4=Online, 5=Disconn., 6=Failure"
BACnet IP Status,BACnet IP Status,State,State count: 2,multiStateInput,presentValue,FALSE,317,,1=Enabled
SMTP Server Status,SMTP Server Status,State,State count: 4,multiStateInput,presentValue,FALSE,318,,"1=Disabled, 2=Offline, 3=Online"
Facility Expert Enabled,Facility Expert Enabled,State,State count: 2,multiStateInput,presentValue,FALSE,319,,1=Enabled
Facility Expert Status,Facility Expert Status,State,State count: 6,multiStateInput,presentValue,FALSE,323,,"1=Offline, 2=Connect., 3=Online, 4=Failure, 5=Unknown"
CO2 Effective Source,CO2 Effective Source,State,State count: 24,multiStateInput,presentValue,FALSE,324,,"1=Internal, 2=Error, 3=Wired, 4=WL 1, 5=WL 2, 6=WL 3, 7=WL 4, 8=WL 5, 9=WL 6, 10=WL 7, 11=WL 8, 12=WL 9, 13=WL 10, 14=WL 11, 15=WL 12, 16=WL 13, 17=WL 14, 18=WL 15, 19=WL 16, 20=WL 17, 21=WL 18, 22=WL 19, 23=WL 20"
Time source,Time source,State,State count: 5,multiStateInput,presentValue,FALSE,325,,"1=Local, 2=BACnet, 3=NTP, 4=Cloud"
Fan Speed Status,Fan Speed Status,State,State count: 4,multiStateInput,presentValue,FALSE,326,,"1=Low, 2=Med, 3=High"
Wi-Fi Network Signal Strength,Wi-Fi Network Signal Strength,State,State count: 5,multiStateInput,presentValue,FALSE,327,,"1=Weak, 2=Fair, 3=Good, 4=Excellent"
Temperature Scale,Temperature Scale,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,51,,1=°F
Display Language,Display Language,State,State count: 23 (default 1),multiStateValue,presentValue,FALSE,4,,"1=French, 2=Spanish, 3=Chinese, 4=Russian, 5=Arabic, 6=Bulgarian, 7=Czech, 8=Danish, 9=Dutch, 10=Finnish, 11=German, 12=Hungarian, 13=Indones., 14=Italian, 15=Norwegian, 16=Polish, 17=Portug., 18=Slovak, 19=Swedish, 20=Turkish, 21=Japanese, 22=Hebrew"
Fan Mode,Fan Mode,State,State count: 3 (default 2),multiStateValue,presentValue,FALSE,17,,"1=Auto, 2=Smart"
System Mode,System Mode,State,State count: 4 (default 2),multiStateValue,presentValue,FALSE,16,,"1=Auto, 2=Cool, 3=Heat"
UI16 Configuration,UI16 Configuration,State,State count: 6 (default 1),multiStateValue,presentValue,FALSE,46,,"1=Rem NSB, 2=Motion NO, 3=Motion NC, 4=Window, 5=Fan lock"
UI17 Configuration,UI17 Configuration,State,State count: 5 (default 1),multiStateValue,presentValue,FALSE,47,,"1=Door dry, 2=Override, 3=Filter, 4=Service"
Room Humidity Display,Room Humidity Display,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,70,,1=Enabled
Dehumidification Lockout,Dehumidification Lockout,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,13,,1=Enabled
UI19 Configuration,UI19 Configuration,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,49,,1=CO2
Setpoint Function,Setpoint Function,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,58,,1=Attach SP
Fan Control in Heating Mode,Fan Control in Heating Mode,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,95,,1=On
Occupancy Command,Occupancy Command,State,State count: 3 (default 2),multiStateValue,presentValue,FALSE,10,,"1=Occupied, 2=Unocc."
Network Units,Network Units,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,6,,1=Imperial
Network Language,Network Language,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,7,,"1=French, 2=Spanish"
BACnet Baud Rate,BACnet Baud Rate,State,State count: 7 (default 7),multiStateValue,presentValue,FALSE,8,,"1=19200, 2=38400, 3=57600, 4=76800, 5=115200, 6=Auto"
Time Format,Time Format,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,5,,1=24 Hours
Standby Mode Configuration,Standby Mode Configuration,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,11,,1=Offset
HMI Color,HMI Color,State,State count: 10 (default 1),multiStateValue,presentValue,FALSE,2,,"1=Green, 2=Blue, 3=Grey, 4=Dark grey, 5=Pink, 6=Purple, 7=Red, 8=Orange, 9=Black"
Main Display,Main Display,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,3,,"1=Setpoint, 2=T. + set."
Long Message Background Colour,Long Message Background Colour,State,State count: 11 (default 1),multiStateValue,presentValue,FALSE,1,,"1=Green, 2=Blue, 3=Grey, 4=Dark grey, 5=Pink, 6=Purple, 7=Red, 8=Orange, 9=Black, 10=Default"
Use Standby Screen,Use Standby Screen,State,State count: 4 (default 1),multiStateValue,presentValue,FALSE,32,,"1=Yes, 2=Occ. only, 3=Screen sav"
BO1 Auxiliary Output Configuration,BO1 Auxiliary Output Configuration,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,92,,1=NC
UO9 Configuration,UO9 Configuration,State,State count: 4 (default 4),multiStateValue,presentValue,FALSE,96,,"1=Binary, 2=Relay RC, 3=Relay RH"
UO10 Configuration,UO10 Configuration,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,97,,"1=Binary, 2=Relay RC"
UO11 Configuration,UO11 Configuration,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,98,,1=Binary
UO12 Configuration,UO12 Configuration,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,99,,1=Binary
Fan Delay,Fan Delay,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,12,,1=On
Frost Protection,Frost Protection,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,55,,1=On
Mechanical Cooling Allowed,Mechanical Cooling Allowed,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,79,,1=On
Economizer Configuration,Economizer Configuration,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,72,,1=On
Enable Smart Recovery,Enable Smart Recovery,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,71,,1=On
Schedule Menu,Schedule Menu,State,State count: 4 (default 2),multiStateValue,presentValue,FALSE,73,,"1=Enabled, 2=Dis.no.clk, 3=En.no.clk"
French,French,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,101,,1=Enabled
Spanish,Spanish,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,102,,1=Enabled
Chinese,Chinese,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,103,,1=Enabled
Russian,Russian,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,104,,1=Enabled
Wireless Device 1 - Function,Wireless Device 1 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,210,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 2 - Function,Wireless Device 2 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,220,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 3 - Function,Wireless Device 3 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,230,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 4 - Function,Wireless Device 4 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,240,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 5 - Function,Wireless Device 5 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,250,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 6 - Function,Wireless Device 6 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,260,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 7 - Function,Wireless Device 7 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,270,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 8 - Function,Wireless Device 8 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,280,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 9 - Function,Wireless Device 9 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,290,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 10 - Function,Wireless Device 10 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,300,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Occupancy Source,Occupancy Source,State,State count: 4 (default 1),multiStateValue,presentValue,FALSE,110,,"1=Schedule, 2=Mot. occ., 3=Mot. unoc."
Mode Button,Mode Button,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,111,,1=Off-Auto
Control Status,Control Status,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,112,,"1=Cool, 2=Heat"
Custom button icon,Custom button icon,State,State count: 17 (default 1),multiStateValue,presentValue,FALSE,114,,"1=No Button, 2=System Mode Heat/Cool, 3=System Mode On/Off, 4=Fan Mode, 5=Override Button, 6=Units Button, 7=Help Button, 8=Language Button, 9=Schedule Button, 10=Lighting Button, 11=Blind Button, 12=Lamp Button, 13=Energy Button, 14=Make Room Button, 15=Setting Button, 16=Timer Button"
Custom button behavior,Custom button behavior,State,State count: 12 (default 1),multiStateValue,presentValue,FALSE,115,,"1=No function, 2=System mode function, 3=Fan function, 4=Override function, 5=Schedule function, 6=Units function, 7=Help function, 8=Language function, 9=Configuration function, 10=Custom function, 11=Standby function"
Arabic,Arabic,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,120,,1=Enabled
Czech,Czech,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,122,,1=Enabled
Danish,Danish,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,123,,1=Enabled
Dutch,Dutch,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,124,,1=Enabled
Finnish,Finnish,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,125,,1=Enabled
German,German,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,126,,1=Enabled
Hungarian,Hungarian,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,127,,1=Enabled
Indonesian,Indonesian,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,128,,1=Enabled
Italian,Italian,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,129,,1=Enabled
Norwegian,Norwegian,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,130,,1=Enabled
Polish,Polish,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,131,,1=Enabled
Portuguese,Portuguese,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,132,,1=Enabled
Slovak,Slovak,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,133,,1=Enabled
Swedish,Swedish,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,134,,1=Enabled
Turkish,Turkish,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,135,,1=Enabled
Comfort or economy mode,Comfort or economy mode,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,116,,1=Economy
Reversing valve operation,Reversing valve operation,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,117,,1=B
Compressor - auxiliary interlock,Compressor - auxiliary interlock,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,118,,1=On
Application,Application,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,119,,1=Heatpump
Schedule Type,Schedule Type,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,136,,"1=5+2 days, 2=5+1+1 day"
UI16 Input Type,UI16 Input Type,State,State count: 3 (default 2),multiStateValue,presentValue,FALSE,138,,"1=Binary, 2=Voltage"
UI17 Input Type,UI17 Input Type,State,State count: 3 (default 2),multiStateValue,presentValue,FALSE,139,,"1=Binary, 2=Voltage"
UI19 Input Type,UI19 Input Type,State,State count: 3 (default 3),multiStateValue,presentValue,FALSE,140,,"1=Binary, 2=Voltage"
UI20 Input Type,UI20 Input Type,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,141,,"1=Binary, 2=Voltage"
UI22 Input Type,UI22 Input Type,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,142,,"1=Binary, 2=Voltage"
UI23 Input Type,UI23 Input Type,State,State count: 3 (default 1),multiStateValue,presentValue,FALSE,143,,"1=Binary, 2=Voltage"
UI24 Input Type,UI24 Input Type,State,State count: 3 (default 3),multiStateValue,presentValue,FALSE,144,,"1=Binary, 2=Voltage"
Room Temperature Sensor,Room Temperature Sensor,State,State count: 23 (default 1),multiStateValue,presentValue,FALSE,145,,"1=Internal, 2=WL IO, 3=WL 1, 4=WL 2, 5=WL 3, 6=WL 4, 7=WL 5, 8=WL 6, 9=WL 7, 10=WL 8, 11=WL 9, 12=WL 10, 13=WL 11, 14=WL 12, 15=WL 13, 16=WL 14, 17=WL 15, 18=WL 16, 19=WL 17, 20=WL 18, 21=WL 19, 22=WL 20"
CO2 Display,CO2 Display,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,146,,1=Enabled
CO2 Autocalibration,CO2 Autocalibration,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,147,,1=Enabled
Lock Screen,Lock Screen,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,148,,1=Yes
Relative humidity sensor,Relative humidity sensor,State,State count: 22 (default 2),multiStateValue,presentValue,FALSE,149,,"1=Internal, 2=WL 1, 3=WL 2, 4=WL 3, 5=WL 4, 6=WL 5, 7=WL 6, 8=WL 7, 9=WL 8, 10=WL 9, 11=WL 10, 12=WL 11, 13=WL 12, 14=WL 13, 15=WL 14, 16=WL 15, 17=WL 16, 18=WL 17, 19=WL 18, 20=WL 19, 21=WL 20"
CO2 source,CO2 source,State,State count: 22 (default 2),multiStateValue,presentValue,FALSE,150,,"1=Local, 2=WL 1, 3=WL 2, 4=WL 3, 5=WL 4, 6=WL 5, 7=WL 6, 8=WL 7, 9=WL 8, 10=WL 9, 11=WL 10, 12=WL 11, 13=WL 12, 14=WL 13, 15=WL 14, 16=WL 15, 17=WL 16, 18=WL 17, 19=WL 18, 20=WL 19, 21=WL 20"
Temperature Alarm Enabled,Temperature Alarm Enabled,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,151,,1=On
ADR Permission,ADR Permission,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,152,,1=On
Japanese,Japanese,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,155,,1=Enabled
Hebrew,Hebrew,State,State count: 2 (default 1),multiStateValue,presentValue,FALSE,156,,1=Enabled
Wireless Device 11 - Function,Wireless Device 11 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,310,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 12 - Function,Wireless Device 12 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,320,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 13 - Function,Wireless Device 13 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,330,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 14 - Function,Wireless Device 14 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,340,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 15 - Function,Wireless Device 15 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,350,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 16 - Function,Wireless Device 16 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,360,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 17 - Function,Wireless Device 17 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,370,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 18 - Function,Wireless Device 18 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,380,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 19 - Function,Wireless Device 19 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,390,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Wireless Device 20 - Function,Wireless Device 20 - Function,State,State count: 9 (default 6),multiStateValue,presentValue,FALSE,400,,"1=Window, 2=Door, 3=Motion, 4=Env. data, 5=Remove, 6=Water, 7=Refrig., 8=Freezer"
Display the Fan Status icon,Display the Fan Status icon,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,180,,1=Enabled
Display the System Status icon,Display the System Status icon,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,181,,1=Enabled
Display the Help button,Display the Help button,State,State count: 2 (default 2),multiStateValue,presentValue,FALSE,182,,1=Enabled
UI20 Configuration,UI20 Configuration,State,State count: 3 (default 2),multiStateValue,presentValue,FALSE,185,,"1=RS, 2=MAT"
Occupancy Calendar,Occupancy Calendar,Boolean,,calendar,presentValue,FALSE,1,,
